,Hillsborough,Manatee,Santa Rosa,Broward,Lee,Charlotte,Okaloosa,Volusia,Alachua,Collier,Nassau,Pasco,Pinellas,Miami-Dade,St. Johns,Clay,Duval,Palm Beach,Sarasota,Seminole,Orange,Osceola,Baker,Citrus,Escambia,Lake,Brevard,Polk,Leon,Sumter,Walton,Hernando,Indian River,Jackson,Martin,Monroe,Bay,Highlands,Marion,Putnam,St. Lucie,Bradford,Columbia,DeSoto,Flagler,Unknown,Gadsden,Washington,Levy,Suwannee,Hendry,Glades,Wakulla,Holmes,Calhoun,Union,Gulf,Hardee,Madison,Okeechobee,Franklin,Dixie,Jefferson,Hamilton,Gilchrist,Taylor,Lafayette,Liberty
2020-03-01,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-02,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-03,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-04,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-06,2,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-07,2,2,1,2,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-08,2,2,1,3,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-09,2,2,1,3,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-10,2,2,1,4,2,1,1,2,1,3,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-11,2,2,1,5,2,1,1,2,1,3,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-12,3,2,1,12,4,1,1,3,2,3,1,1,2,2,1,1,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-13,3,4,1,21,4,1,1,4,3,3,1,1,2,8,1,1,1,5,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-14,3,4,1,21,4,1,1,4,3,3,1,1,2,8,1,1,1,5,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-15,6,4,1,37,5,1,1,5,4,5,1,2,2,13,2,3,4,5,2,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-16,6,5,1,39,5,1,1,7,4,6,1,2,4,23,2,3,5,7,3,4,4,4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-17,9,7,1,55,7,1,2,9,6,7,1,2,4,43,3,4,10,11,4,4,6,7,1,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-18,14,8,1,80,11,1,3,9,7,13,1,3,12,77,4,4,14,20,4,7,11,8,1,3,1,2,2,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-19,20,9,1,96,11,1,5,9,11,18,1,5,16,101,4,4,15,28,6,13,19,13,1,3,1,3,3,4,3,2,1,4,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-20,32,10,2,128,14,2,7,10,15,25,1,6,22,124,7,4,17,41,8,13,23,13,1,3,1,3,4,9,4,2,3,4,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-21,47,13,2,164,17,2,12,11,25,28,1,8,29,170,9,6,25,56,14,13,29,21,1,8,1,6,5,10,4,4,4,5,5,1,1,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-22,58,13,3,217,26,2,13,14,35,33,1,11,38,228,16,7,39,70,17,19,32,24,2,8,4,6,7,11,4,5,4,5,8,1,2,1,1,1,3,2,3,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,
2020-03-23,75,15,4,262,30,3,13,16,37,39,1,14,41,277,18,8,50,88,21,22,47,25,3,9,9,9,7,13,5,8,9,5,10,1,4,2,1,2,4,2,5,1,2,1,3,1,,,,,,,,,,,,,,,,,,,,,,
2020-03-24,95,16,6,312,34,3,13,19,37,41,1,16,45,365,24,10,50,102,26,25,50,26,4,9,13,14,9,13,6,10,10,7,12,1,4,3,1,4,4,2,6,1,3,1,4,1,,,,,,,,,,,,,,,,,,,,,,
2020-03-25,123,26,8,412,52,3,18,28,46,57,4,18,54,489,28,16,60,139,32,32,87,39,5,9,17,22,12,15,7,18,13,8,12,1,7,11,3,5,5,5,9,1,3,4,6,1,1,,,,,,,,,,,,,,,,,,,,,
2020-03-26,151,25,12,505,66,4,21,34,53,67,5,21,65,653,36,20,82,172,34,40,118,45,5,11,20,26,14,20,12,24,13,9,14,1,11,14,3,5,5,12,11,1,3,5,8,1,1,1,,,,,,,,,,,,,,,,,,,,
2020-03-27,174,29,13,631,95,8,25,43,60,85,6,25,82,869,42,22,99,241,43,54,174,56,7,11,28,32,20,28,15,29,14,12,15,1,17,19,4,6,9,12,17,1,3,6,12,1,1,1,1,1,,,,,,,,,,,,,,,,,,
2020-03-28,206,32,16,820,119,16,31,44,68,95,7,34,111,1121,50,26,120,318,50,68,213,74,7,15,28,38,27,37,17,40,15,14,16,1,26,22,5,10,18,12,22,1,3,7,13,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
2020-03-29,225,38,21,1012,151,16,31,60,72,111,8,35,116,1471,59,35,142,382,61,81,267,89,8,16,37,44,30,46,16,45,15,20,20,2,27,23,6,12,22,12,24,2,3,7,13,1,1,1,2,2,2,1,1,,,,,,,,,,,,,,,
2020-03-30,272,42,36,1137,170,20,35,69,80,127,7,38,129,1700,61,34,163,462,67,88,299,94,8,17,81,50,32,63,21,47,16,21,25,2,27,26,6,14,23,13,31,2,3,7,15,1,1,1,2,3,3,3,1,1,,,,,,,,,,,,,,
2020-03-31,305,53,44,1219,206,24,39,80,87,146,10,40,167,2123,79,41,207,551,76,103,373,110,9,19,94,66,37,73,26,51,18,24,33,2,28,27,8,17,28,13,38,2,3,7,18,2,1,1,2,3,4,3,1,1,1,1,,,,,,,,,,,,
2020-04-01,362,70,46,1348,235,26,44,93,92,158,11,51,233,2415,90,53,239,616,99,128,458,140,9,23,96,71,47,91,32,57,18,28,35,4,33,30,13,21,30,13,47,3,3,7,24,3,1,1,2,6,4,3,2,1,1,1,1,1,2,1,,,,,,,,
2020-04-02,404,89,47,1481,274,38,50,102,95,178,16,66,273,2885,102,58,286,735,110,145,540,170,11,27,101,82,49,103,34,66,19,34,41,4,34,38,15,24,33,14,48,5,4,8,25,9,1,1,2,7,4,3,2,1,1,1,1,1,2,1,,,,,,,,
2020-04-03,463,104,48,1598,303,43,53,125,110,203,19,77,318,3363,119,69,323,856,124,163,601,201,11,28,113,88,62,126,38,68,19,38,47,4,42,40,18,26,38,15,60,5,4,9,28,10,2,1,2,11,5,3,3,1,2,1,1,1,4,2,1,,,,,,,
2020-04-04,497,129,50,1765,347,46,58,134,116,221,21,90,342,3889,132,74,387,952,129,178,656,216,11,34,118,95,72,142,41,73,21,40,50,4,53,42,23,30,42,18,76,6,10,11,29,10,3,1,2,17,6,4,5,1,3,1,1,1,6,3,1,1,1,,,,,
2020-04-05,536,136,55,1886,378,47,61,151,123,231,21,102,359,4145,141,79,413,998,140,191,712,229,12,43,125,101,79,157,41,75,23,43,55,4,60,44,24,35,50,19,82,7,13,12,31,4,3,1,4,18,7,4,6,1,3,2,1,2,10,3,2,1,1,,,,,
