,Washington,Jackson,Klamath,Douglas,Marion,Multnomah,Deschutes,Linn,Polk,Umatilla,Clackamas,Yamhill,Benton,Lane,Grant,Union,Josephine,Hood River,Clatsop,Lincoln,Tillamook,Wasco,Columbia,Morrow,Malheur,Wallowa,Crook,Sherman,Curry,Coos,Jefferson,Harney,Baker,Lake,Gilliam,Wheeler,Unknown
2020-02-28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-02,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-03,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-04,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-06,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-07,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-08,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-09,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-10,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-11,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-12,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-13,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-14,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-15,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-16,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-17,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
2020-03-18,1,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
2020-03-19,1,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
2020-03-20,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
2020-03-21,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,
2020-03-22,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,
2020-03-23,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,
2020-03-24,2,0,0,0,1,2,0,1,0,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,
2020-03-25,2,0,0,0,2,2,0,1,0,0,2,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-03-26,3,0,0,0,2,2,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2020-03-27,3,0,0,0,3,2,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
2020-03-28,3,0,0,0,3,2,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
2020-03-29,3,0,0,0,3,2,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
2020-03-30,3,0,0,0,3,2,0,2,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
2020-03-31,3,0,0,0,3,2,0,2,0,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
2020-04-01,3,0,0,0,3,3,0,2,0,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
2020-04-02,4,0,0,0,4,3,0,2,0,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
2020-04-03,4,0,0,0,4,3,0,2,1,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2020-04-04,4,0,0,0,5,6,0,2,1,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2020-04-05,4,0,0,0,5,7,0,2,1,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2020-04-06,5,0,0,0,6,7,0,2,1,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2020-04-07,6,0,0,0,9,7,0,2,1,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2020-04-08,6,0,0,0,9,10,0,2,1,0,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2020-04-09,6,0,0,0,9,13,0,4,1,0,3,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2020-04-10,6,0,0,0,9,17,0,4,1,0,3,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2020-04-11,6,0,0,0,9,18,0,4,1,0,3,6,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2020-04-12,6,0,0,0,9,19,0,4,1,0,3,6,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2020-04-13,7,0,0,0,9,19,0,4,1,0,3,6,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2020-04-14,7,0,0,0,9,20,0,4,1,0,3,6,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2020-04-15,7,0,0,0,10,22,0,4,1,0,3,6,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2020-04-16,7,0,0,0,11,26,0,4,1,0,3,6,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2020-04-17,7,0,0,0,12,28,0,6,1,0,4,6,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2020-04-18,7,0,0,0,13,28,0,6,1,0,5,6,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2020-04-19,8,0,0,0,13,28,0,6,1,0,5,6,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2020-04-20,8,0,0,0,14,28,0,6,1,0,5,6,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
